D99_index,ac,af_l,af_r,ar_l,ar_r,atr_l,atr_r,cbd_l,cbd_r,cbp_l,cbp_r,cbt_l,cbt_r,cst_l,cst_r,fa_l,fa_r,fma,fmi,fx_l,fx_r,ifo_l,ifo_r,ilf_l,ilf_r,mcp,mdlf_l,mdlf_r,or_l,or_r,slf1_l,slf1_r,slf2_l,slf2_r,slf3_l,slf3_r,str_l,str_r,uf_l,uf_r,vof_l,vof_r
0513_LEFT_MGz,0.014883301,0.008161866,0.001408357,0.294383439,0.014883778,0.030720058,0.007882356,0.014358198,0.007025221,0.004230159,0.002444877,0.013495853,0.003201129,0.049875546,0.010890679,0.01019802,0.003329596,0.050395584,0.007572536,0.075118756,0.025291234,0.072783809,0.014518352,0.015185171,0.001827746,0.010038252,0.027305633,0.004787098,0.071442051,0.010209312,0.009485763,0.001590469,0.017958538,0.003523617,0.008638558,0.002378977,0.048492526,0.007248031,0.012650286,0.002920605,0.014305414,0.002758643
0514_LEFT_MGpd,0.01664986,0.004293142,0.000603887,0.218512104,0.009975681,0.026190401,0.006667662,0.013087418,0.008012919,0.003982051,0.001862895,0.020852708,0.003344157,0.034390856,0.008736116,0.006981527,0.002746225,0.049250007,0.005736978,0.114896652,0.022469483,0.101690462,0.011335695,0.025727623,0.001848936,0.01427057,0.023918741,0.002272959,0.148224869,0.010317044,0.003739817,0.001077692,0.009673947,0.002149567,0.004229038,0.001339193,0.029236859,0.005447379,0.010883214,0.002088159,0.021475328,0.00266184
0523_RIGHT_pu,0.069373108,0.002825084,0.005756884,0.007449041,0.048463203,0.008833385,0.075759317,0.009494195,0.027270297,0.005205148,0.027145297,0.003403575,0.010680284,0.011626989,0.071417956,0.006914933,0.035603988,0.026148327,0.025310301,0.023994825,0.082501002,0.018218262,0.14130131,0.003765282,0.008517225,0.00477067,0.004633929,0.016900041,0.006715334,0.030499181,0.002378187,0.00788491,0.013750631,0.029552457,0.00566644,0.021921778,0.007018426,0.038297699,0.004041506,0.043606516,0.002087074,0.010768458
0524_RIGHT_cd,0.039389101,0.00215997,0.004497618,0.005223958,0.031138181,0.011213318,0.133182765,0.009279412,0.034526515,0.007959101,0.053489331,0.002314704,0.014421318,0.008330473,0.058322499,0.009928112,0.038927779,0.02292016,0.050820603,0.022103156,0.109107951,0.012913455,0.098045605,0.002109112,0.008242042,0.005937378,0.002978491,0.011462765,0.004532384,0.028637408,0.002268078,0.004902922,0.012858999,0.023528472,0.003397893,0.014828341,0.006589416,0.045273763,0.003435013,0.031425063,0.001344003,0.007439081
0525_RIGHT_nan,0.082775106,0.001922792,0.004689687,0.006862233,0.027098447,0.011776581,0.06072824,0.008545036,0.023208459,0.012875006,0.092333626,0.003021681,0.016044476,0.00945757,0.037463839,0.005869729,0.026473294,0.027298238,0.03315722,0.024579685,0.121011446,0.018983788,0.124551106,0.003040844,0.011253178,0.005353264,0.003667403,0.013206468,0.006553056,0.025216024,0.001622878,0.003909526,0.008838235,0.019865869,0.003094709,0.015897933,0.006334085,0.020065334,0.005491954,0.061363603,0.00197763,0.008472963
0526_RIGHT_GPe,0.101449512,0.002739382,0.006450684,0.007121826,0.048144159,0.011231238,0.087121439,0.008813813,0.022943922,0.005581661,0.020440414,0.005140256,0.012749924,0.009594158,0.069736236,0.006629549,0.031487194,0.028544287,0.027994506,0.026532737,0.08249435,0.020635892,0.128116095,0.005368201,0.012427068,0.005722522,0.004543899,0.016463,0.007326927,0.030813375,0.001922543,0.005045127,0.010713867,0.024516456,0.003957861,0.019946621,0.005937583,0.029595885,0.004673056,0.032466956,0.002447205,0.012161662
0527_RIGHT_GPi,0.075462461,0.003467896,0.006859442,0.009754345,0.073363,0.008834147,0.053502125,0.009416725,0.022511944,0.003516928,0.010958361,0.00366013,0.013434875,0.013929912,0.152001888,0.004644206,0.017106595,0.039823157,0.014287975,0.024915021,0.102531147,0.01404079,0.090814885,0.003701146,0.00939673,0.026342344,0.004816571,0.016634181,0.006940898,0.047109735,0.002007293,0.004436457,0.008464796,0.019148194,0.00386542,0.015617523,0.006734498,0.026045766,0.003303387,0.019481329,0.002245763,0.016659729
0528_RIGHT_SNpr,0.029049331,0.001600504,0.003077039,0.008362537,0.049604378,0.007336957,0.079449942,0.006290936,0.019588322,0.003197554,0.010047909,0.001979574,0.008502604,0.018978403,0.278154584,0.00545365,0.023713763,0.018508374,0.017396703,0.012911737,0.060065998,0.009265275,0.060339282,0.001877972,0.004985205,0.121835095,0.002457056,0.007882077,0.004579327,0.025524998,0.001979128,0.00490665,0.006128534,0.012788022,0.002275327,0.009715093,0.006389301,0.034248337,0.002060983,0.013809562,0.001375666,0.008148421
0529_RIGHT_SNpc,0.033100832,0.001930884,0.003126112,0.012373012,0.059898202,0.008736402,0.056807443,0.006588134,0.018332171,0.003793626,0.01126453,0.00275943,0.012485946,0.022952706,0.230295958,0.004677827,0.014733156,0.024252471,0.014079178,0.017618125,0.081415121,0.012280792,0.067299978,0.002695281,0.007541786,0.123483967,0.003372373,0.008969419,0.006819048,0.035669367,0.001740417,0.003556481,0.006769429,0.010456715,0.002484497,0.008299285,0.007669213,0.024072784,0.002747705,0.019642303,0.002071891,0.010404206
0530_RIGHT_SNpl,0.029500539,0.002287703,0.003687988,0.010609659,0.093628696,0.006692685,0.036311134,0.006299425,0.018116197,0.002794548,0.008199784,0.002130583,0.010308711,0.020786925,0.302270905,0.003865527,0.013083509,0.024726516,0.010540533,0.015206019,0.072414526,0.010073186,0.058800918,0.00225903,0.006783451,0.085881321,0.003456892,0.009108274,0.005419457,0.034381357,0.001674952,0.004100697,0.006623346,0.011871909,0.00258256,0.009367155,0.006652293,0.02544555,0.002353656,0.014862303,0.001739409,0.010223763
0531_RIGHT_STN,0.033794712,0.002607174,0.005470405,0.01083536,0.092197378,0.007611442,0.044747645,0.007563222,0.018401632,0.003238682,0.009338425,0.002282578,0.013196344,0.017541699,0.22493097,0.005108108,0.018134845,0.029919798,0.012779234,0.018868269,0.093130903,0.012363596,0.080046554,0.0025748,0.009918349,0.037419558,0.004096616,0.013241992,0.005994267,0.052848476,0.001931332,0.004994715,0.007749807,0.015075067,0.003144962,0.01259214,0.006639501,0.032808499,0.00279913,0.017992435,0.001776593,0.015468901
