Index-HCPex,ac,af_l,af_r,ar_l,ar_r,atr_l,atr_r,cbd_l,cbd_r,cbp_l,cbp_r,cbt_l,cbt_r,cst_l,cst_r,fa_l,fa_r,fma,fmi,fx_l,fx_r,ifo_l,ifo_r,ilf_l,ilf_r,mcp,mdlf_l,mdlf_r,or_l,or_r,slf1_l,slf1_r,slf2_l,slf2_r,slf3_l,slf3_r,str_l,str_r,uf_l,uf_r,vof_l,vof_r
371_L_MGN,0.01809104,0.018471383,0.001501821,0.295327427,0.013662672,0.014612163,0.004318089,0.008044613,0.0021792,0.000857958,0.000327103,0.022183048,0.001181522,0.040759229,0.006490558,0.002572604,0.000699193,0.035111999,0.00311741,0.025496243,0.004190817,0.079249752,0.00585698,0.009642624,0.000885771,0.012839494,0.07344682,0.005625453,0.222945258,0.010998093,0.030897428,0.005819218,0.010487306,0.001625707,0.004558572,0.00068268,0.019638067,0.005170362,0.014673579,0.001197726,0.013599382,0.000787797
373_L_Pf,0.075581757,0.009948068,0.002889008,0.05205121,0.01795303,0.161489128,0.031920439,0.013212939,0.00375066,0.002066026,0.001264825,0.010924818,0.002303589,0.036535368,0.016338,0.007630836,0.003347484,0.017844197,0.016041295,0.078083281,0.014088878,0.061432445,0.012195273,0.007049872,0.001371974,0.024151344,0.03060954,0.008732618,0.071173281,0.017832998,0.024492409,0.009563698,0.006800896,0.00253199,0.002317958,0.001286103,0.113782315,0.019961657,0.033581083,0.004410431,0.005975225,0.00139419
374_L_PuA,0.0207944,0.017378524,0.00119329,0.058602295,0.004941237,0.120305415,0.007372495,0.017899141,0.003965435,0.002636708,0.001376565,0.011343272,0.000810668,0.036221805,0.003817489,0.028187954,0.002672773,0.033229016,0.017540962,0.090744591,0.002933134,0.093222969,0.005825847,0.012510669,0.000635471,0.004385776,0.063223988,0.00358668,0.124721228,0.00607756,0.046090243,0.004939157,0.010491535,0.001285577,0.004506933,0.000997687,0.122590307,0.005366061,0.026038004,0.001504799,0.014262369,0.000557742
375_L_PuI,0.039345077,0.022744407,0.000644057,0.053380905,0.003518713,0.047543913,0.002961543,0.019106395,0.001986632,0.002422145,0.000763757,0.042004461,0.001249012,0.012354687,0.001850901,0.008908572,0.000864305,0.037100271,0.00851939,0.156365366,0.003802687,0.142155737,0.004847233,0.038104452,0.000818616,0.001722933,0.056013118,0.00238647,0.203758291,0.004626913,0.0114931,0.002184557,0.003556997,0.000747723,0.002011426,0.000462146,0.04803445,0.00179662,0.046575956,0.001213337,0.015067601,0.000526504
376_L_PuL,0.020094097,0.021039675,0.000994757,0.07359543,0.003111984,0.078896241,0.004051365,0.015108753,0.003365993,0.001847353,0.000923517,0.016189647,0.000592108,0.033185591,0.002861934,0.019992788,0.001808373,0.042595799,0.011918875,0.113662167,0.002221376,0.089950137,0.004950336,0.010971549,0.000688381,0.003326607,0.083958262,0.003436961,0.146748814,0.005015104,0.058113155,0.004977052,0.015707949,0.001150103,0.007171566,0.000799207,0.101309827,0.002898873,0.020010937,0.001106903,0.014576035,0.000500396
377_L_PuM,0.048779352,0.013093775,0.000737582,0.025444231,0.002897199,0.122740673,0.005392888,0.024286069,0.003378647,0.004842215,0.001434882,0.034781113,0.002081818,0.011674559,0.002081613,0.013327005,0.001338838,0.030892975,0.018019792,0.331090792,0.007631111,0.092869312,0.00604341,0.021794999,0.00086841,0.002314321,0.031548035,0.002290678,0.098187731,0.004450679,0.014781536,0.002441331,0.003245291,0.000739364,0.002039365,0.000677692,0.058782955,0.002039019,0.044780169,0.00182256,0.006992233,0.000523781
378_L_VA,0.059052594,0.008231665,0.000914667,0.02059784,0.003780757,0.317446017,0.010770953,0.031384805,0.004987179,0.006134309,0.002655609,0.014008082,0.000815503,0.011480604,0.003223343,0.009031929,0.001312729,0.011566383,0.04360093,0.15959541,0.005848377,0.104930554,0.006546758,0.008292085,0.000545496,0.004063871,0.01806532,0.002376825,0.045233809,0.004778582,0.01182529,0.002661984,0.002768487,0.00082733,0.001997951,0.000993631,0.04014271,0.003336928,0.06107785,0.001984774,0.003576393,0.000402766
379_L_VLa,0.030566725,0.011845939,0.001128766,0.02350186,0.00335772,0.247424386,0.010281756,0.027206406,0.005800365,0.004694888,0.002573405,0.010057427,0.000703882,0.054639063,0.003655736,0.044491044,0.003285634,0.0117353,0.034584656,0.105391615,0.003773011,0.07677181,0.006322825,0.007521968,0.00055383,0.00770359,0.019829932,0.002382356,0.04674801,0.004361822,0.041195523,0.004102282,0.011160246,0.00132761,0.003996551,0.001402909,0.112934404,0.004298546,0.037383306,0.001769522,0.0038437,0.000401194
380_L_VLp,0.025621992,0.014023771,0.001058159,0.02334372,0.00315795,0.18055139,0.00769151,0.019805862,0.004505227,0.003205138,0.001696386,0.008269223,0.000603629,0.084737508,0.004324018,0.034545697,0.003318385,0.011775416,0.024525132,0.086395398,0.00307237,0.063571012,0.005071253,0.007281992,0.000499549,0.010511517,0.021440745,0.002171608,0.04651413,0.003974608,0.058217541,0.005042193,0.020751282,0.001629431,0.005289074,0.001163517,0.191825241,0.005013217,0.029025453,0.001413403,0.004039619,0.000355485
381_L_VPL,0.013560776,0.023935611,0.001391629,0.09675979,0.005182584,0.050175274,0.005602983,0.010941686,0.003605684,0.001350862,0.000672288,0.005920942,0.000699282,0.187472513,0.007553198,0.012783398,0.001673741,0.019781308,0.007962069,0.029808866,0.002699996,0.05078065,0.004972484,0.005891353,0.00067421,0.020852611,0.048076317,0.004153829,0.08109566,0.005686018,0.106196048,0.008516866,0.03976517,0.001743538,0.010161345,0.000951684,0.116932082,0.006033623,0.012933723,0.001231233,0.007797374,0.000485394
