D99_index,ac,af_l,af_r,ar_l,ar_r,atr_l,atr_r,cbd_l,cbd_r,cbp_l,cbp_r,cbt_l,cbt_r,cst_l,cst_r,fa_l,fa_r,fma,fmi,fx_l,fx_r,ifo_l,ifo_r,ilf_l,ilf_r,mcp,mdlf_l,mdlf_r,or_l,or_r,slf1_l,slf1_r,slf2_l,slf2_r,slf3_l,slf3_r,str_l,str_r,uf_l,uf_r,vof_l,vof_r
342,0.021939965,0.003324047,0.000315692,0.011156806,0.00148933,0.005662969,0.001943966,0.00659582,0.001779245,0.002879754,0.001040328,0.171718638,0.002102489,0.004907998,0.001422127,0.002043222,0.000786765,0.014904162,0.00280018,0.095955516,0.00649143,0.076515611,0.00626642,0.40718522,0.002162312,0.004632813,0.023008474,0.000951232,0.034149497,0.002125279,0.000517062,0.000269057,0.002597628,0.000794452,0.004784723,0.000531065,0.002369312,0.000825102,0.043530078,0.00124633,0.034125188,0.000915345
343,0.01119978,0.001856994,0.000713748,0.006831935,0.004917393,0.03530163,0.02654122,0.120104939,0.024104359,0.264879571,0.107716673,0.002853085,0.001531011,0.009646925,0.006285754,0.012081597,0.00941483,0.010888449,0.130145012,0.017936605,0.012874964,0.0502178,0.032799316,0.003473449,0.001207644,0.001879023,0.00332386,0.001811833,0.007078155,0.004225562,0.003110512,0.003343502,0.011620945,0.004330129,0.003510138,0.002694338,0.005765868,0.005002939,0.019035982,0.010868547,0.00208523,0.00153295
344,0.005720204,0.028255974,0.001620961,0.113867481,0.009079825,0.012901169,0.004541142,0.021064625,0.012045018,0.00455292,0.001976794,0.003564151,0.00109344,0.050274593,0.012241276,0.033631902,0.007342721,0.038876785,0.0123013,0.023384254,0.0117324,0.063746938,0.008576067,0.02099108,0.000816253,0.001745804,0.238169937,0.003622678,0.027771982,0.003492603,0.004350236,0.001994324,0.040999858,0.010069239,0.102719986,0.006477247,0.018483612,0.006452068,0.026147414,0.001741279,0.026305167,0.001813841
345,0.016777611,0.001886933,0.000902651,0.009584679,0.00515799,0.107861863,0.03554397,0.062155573,0.017125035,0.123468874,0.055645833,0.003402395,0.001725351,0.01240231,0.00659636,0.015328987,0.010150196,0.010833922,0.165623475,0.023480817,0.01432898,0.116590743,0.037786937,0.004995885,0.001181575,0.001647542,0.005397169,0.001933914,0.012041381,0.00490824,0.003627974,0.002513552,0.014125191,0.005072362,0.005166728,0.003119385,0.009379593,0.005775215,0.031209255,0.009169855,0.003265416,0.001673492
347,0.005788474,0.001894829,0.000567806,0.004095158,0.004045623,0.024787701,0.020279855,0.251258966,0.045245849,0.228182766,0.062750943,0.002304334,0.00115659,0.007645588,0.006416018,0.024931082,0.021838423,0.01079274,0.112504721,0.011672078,0.008658656,0.027870636,0.016818945,0.002230293,0.00091038,0.002355143,0.002262887,0.001522484,0.004647747,0.002870434,0.009888152,0.006880237,0.015337904,0.007186941,0.003669365,0.003671586,0.00931709,0.010707613,0.008342919,0.00556926,0.001604769,0.001074789
348,0.004631976,0.032407237,0.005845254,0.035574411,0.016009577,0.014663113,0.006898489,0.067810003,0.029484656,0.008802827,0.004320314,0.00137998,0.001386179,0.088827604,0.032823145,0.027801077,0.010589615,0.021638388,0.014386477,0.02644013,0.025903446,0.018590145,0.01342225,0.003628733,0.000967079,0.00359902,0.025006819,0.005731152,0.006628127,0.003259654,0.131155593,0.019022365,0.093728132,0.025357591,0.080520096,0.015788992,0.057444803,0.018386919,0.005634352,0.003676182,0.006324039,0.002248678
349,0.007446715,0.004165938,0.001179096,0.007921604,0.003724113,0.091372409,0.023637859,0.044130406,0.027799216,0.028146534,0.010519354,0.002699104,0.000994426,0.031039676,0.011715128,0.165302681,0.04634264,0.007679919,0.104391336,0.017980159,0.009457802,0.07203599,0.013557241,0.004741578,0.000817399,0.001477637,0.007794745,0.001628954,0.010278945,0.003169192,0.010363042,0.004702682,0.091245827,0.018050639,0.032716735,0.009950262,0.03344154,0.018371452,0.016258184,0.002715718,0.003355585,0.001101883
350,0.015935183,0.003395361,0.000496295,0.015570018,0.003565241,0.007350115,0.002168887,0.025658274,0.003605763,0.004446188,0.001189834,0.45041777,0.00190204,0.00893948,0.002548611,0.002448274,0.000881572,0.033311573,0.004410905,0.054710409,0.007179821,0.079127852,0.007162462,0.10894592,0.00216691,0.029320255,0.015698962,0.001453649,0.03780872,0.004126943,0.000547945,0.000409188,0.003531202,0.001053842,0.003742477,0.000752848,0.002831123,0.001140861,0.039443181,0.001172983,0.019229223,0.001503147
351,0.006411133,0.041582079,0.001084161,0.052236806,0.004294892,0.005545461,0.001838717,0.015852455,0.007127718,0.002652381,0.001239664,0.014716059,0.001388533,0.006005402,0.002877169,0.003755933,0.001240008,0.087156148,0.004815024,0.03578766,0.008555058,0.136883919,0.008341074,0.104277738,0.001295038,0.001911374,0.126774984,0.003181936,0.126343559,0.004543334,0.001400887,0.00078258,0.012606782,0.001713706,0.022442825,0.001222854,0.003131475,0.00129883,0.020573735,0.001326028,0.120711828,0.002875604
352,0.016018,0.005782496,0.00115745,0.023486394,0.006786723,0.01053812,0.003265933,0.055232392,0.010641663,0.008200014,0.002643147,0.300517328,0.002630216,0.011018933,0.004865319,0.004363933,0.002286216,0.070877328,0.007885798,0.117885761,0.01425791,0.084971122,0.012488439,0.062877303,0.00244389,0.005319223,0.015082639,0.002687913,0.060186039,0.009342847,0.0016347,0.001232211,0.006569235,0.002870419,0.004826271,0.00180082,0.004729649,0.00300033,0.031359705,0.001975762,0.019056481,0.003166982
353,0.010280476,0.001507623,0.000436332,0.006998529,0.002417108,0.120269324,0.020170687,0.042297327,0.011523595,0.073842442,0.019976258,0.003653154,0.000825551,0.008907902,0.003596951,0.028889576,0.007188839,0.006671397,0.215952598,0.016306104,0.006725022,0.233535308,0.018210313,0.007460636,0.000617849,0.000990218,0.009719976,0.001024837,0.011855556,0.002428333,0.002626276,0.001688222,0.016310791,0.003276261,0.014045848,0.002512141,0.006489773,0.003447138,0.048968049,0.002821515,0.004828778,0.000829847
354,0.010705652,0.016717796,0.004879425,0.04898179,0.020886041,0.01499693,0.006905562,0.088241776,0.031032688,0.007213971,0.004687031,0.003621798,0.003845425,0.038403521,0.016118729,0.013693354,0.006783157,0.220600462,0.013094413,0.042460026,0.030955633,0.051595673,0.026905369,0.012225808,0.00300927,0.006214747,0.026867679,0.009210739,0.03749434,0.020157207,0.025325433,0.005635747,0.025718171,0.008894389,0.011235026,0.006064458,0.016969064,0.006782876,0.010718835,0.004223373,0.040415102,0.009785545
355,0.006005875,0.003568977,0.000937151,0.008916652,0.004322002,0.096838307,0.017917326,0.031985944,0.022203885,0.030493569,0.010214113,0.001731098,0.000951421,0.035174065,0.010568851,0.151355783,0.036739626,0.010632042,0.102793557,0.016816547,0.008503428,0.031587772,0.01100025,0.00275092,0.00065748,0.002233118,0.004808819,0.001654238,0.007955903,0.002951307,0.088308423,0.007309961,0.128046742,0.012465639,0.010807039,0.007637418,0.047359249,0.01426558,0.005961401,0.002326538,0.00247392,0.001093653
357,0.021721653,0.005929737,0.000803271,0.036760778,0.006790637,0.017868123,0.004397202,0.013932183,0.005026349,0.009299892,0.002365843,0.066850885,0.002359701,0.021853039,0.004848605,0.00567234,0.002153473,0.042518831,0.00839428,0.188955019,0.012504765,0.113769037,0.010191676,0.062015789,0.001738159,0.005676784,0.069816151,0.00224094,0.060293041,0.006604218,0.001172613,0.000530225,0.008001456,0.002388856,0.009530627,0.001514705,0.007861018,0.002677519,0.151312281,0.001704076,0.016174732,0.002173027
358,0.005983674,0.019266546,0.001290338,0.03236941,0.006266434,0.005273225,0.00227467,0.016971431,0.007622839,0.002383817,0.001660821,0.004171214,0.001783149,0.012475798,0.004043205,0.003547911,0.00174749,0.172372778,0.004537939,0.026222669,0.011930276,0.093821749,0.011669199,0.061096417,0.001446102,0.003384366,0.046387249,0.003627403,0.107386376,0.009869524,0.00380169,0.001122225,0.008038748,0.002503886,0.011373411,0.001804444,0.004586128,0.001941101,0.009826349,0.001558215,0.272213544,0.005734249
359,0.003496371,0.024046652,0.002836041,0.019544696,0.007088624,0.012260987,0.007175858,0.052638517,0.029132893,0.006643552,0.003558061,0.00096844,0.001134773,0.106399168,0.030213262,0.023028324,0.010373103,0.012745784,0.011073099,0.014155136,0.015576079,0.012099271,0.010161407,0.002182571,0.000737286,0.00212754,0.011463026,0.003445945,0.003883532,0.002120503,0.154094469,0.01500679,0.141827085,0.02987942,0.048144554,0.013832174,0.126050026,0.030722846,0.003265387,0.002669515,0.003555842,0.001377082
360,0.034861393,0.004646538,0.000927823,0.02350462,0.003930233,0.04890272,0.007095105,0.019905291,0.004912815,0.115449176,0.016299881,0.009405331,0.001401412,0.023272022,0.004834992,0.01558262,0.003358998,0.013804556,0.034281457,0.036801345,0.009700275,0.213779193,0.012821376,0.012737391,0.001001384,0.002070484,0.027283183,0.001850042,0.024093502,0.002798574,0.001936631,0.000831924,0.011603387,0.003039539,0.010017459,0.002135602,0.010550846,0.002770554,0.218748755,0.004544035,0.008142835,0.001128985
361,0.008329934,0.029587663,0.001518043,0.097809496,0.007613232,0.013019039,0.00411061,0.019310313,0.009358531,0.00480195,0.002125055,0.003961875,0.00089386,0.083016268,0.010944947,0.068683266,0.006264879,0.024411628,0.01072264,0.021553268,0.011409457,0.079906067,0.007335851,0.013908011,0.00064917,0.00193292,0.119896258,0.002954551,0.019783751,0.002488192,0.00416213,0.001844633,0.066446865,0.008997754,0.184458666,0.005824342,0.02038485,0.005946746,0.034271519,0.001602647,0.013515509,0.00130179
362,0.004454212,0.009009477,0.003666232,0.014633035,0.018053727,0.012770405,0.007556079,0.397596807,0.124188214,0.030791803,0.012931329,0.00270837,0.003381748,0.016380233,0.015593551,0.013136668,0.008553031,0.0589877,0.022582489,0.021353974,0.022653461,0.018871379,0.017789795,0.004230991,0.002219153,0.008209058,0.00963102,0.006830256,0.009332646,0.00784088,0.015039817,0.00925569,0.018934255,0.008517549,0.006051208,0.005607373,0.010792023,0.007381859,0.003940466,0.003299758,0.005047224,0.003461799
363,0.030837551,0.002880296,0.000767156,0.015495092,0.004023158,0.096895302,0.012760838,0.021795104,0.007243317,0.143032234,0.026472393,0.006596375,0.001497623,0.017801574,0.005130557,0.012269261,0.004417846,0.012673294,0.082157742,0.036353228,0.010715963,0.20940242,0.018338742,0.010797108,0.001022053,0.002153459,0.016135974,0.00171055,0.02096346,0.003187737,0.001888992,0.001187244,0.010757317,0.003343655,0.007229948,0.002046181,0.009477005,0.003575382,0.118133968,0.006493902,0.006119589,0.001212996
364,0.010304196,0.001945639,0.000743668,0.007797062,0.00416764,0.121610501,0.036129112,0.138646117,0.021980373,0.091861084,0.026191696,0.003943445,0.001304585,0.010474233,0.005910827,0.026300842,0.014536374,0.011758623,0.206272044,0.021165428,0.011352065,0.079906084,0.02317049,0.00453253,0.000929625,0.001794879,0.004454121,0.001549149,0.011134718,0.003981539,0.012859701,0.003770855,0.020263644,0.005764356,0.005547769,0.004875667,0.011571463,0.00624291,0.016935041,0.003809166,0.003278481,0.001243192
