Index-HCP_MMP_1.0,ac,af_l,af_r,ar_l,ar_r,atr_l,atr_r,cbd_l,cbd_r,cbp_l,cbp_r,cbt_l,cbt_r,cst_l,cst_r,fa_l,fa_r,fma,fmi,fx_l,fx_r,ifo_l,ifo_r,ilf_l,ilf_r,mcp,mdlf_l,mdlf_r,or_l,or_r,slf1_l,slf1_r,slf2_l,slf2_r,slf3_l,slf3_r,str_l,str_r,uf_l,uf_r,vof_l,vof_r
212,0.003710163,0.002380967,0.001855234,0.00312067,0.002649717,0.004702224,0.004028739,0.463782666,0.159429495,0.135827223,0.031997827,0.004070856,0.002873985,0.009671701,0.011664856,0.003744553,0.002060681,0.010468697,0.010938171,0.006651138,0.00378795,0.011871395,0.007564604,0.001816684,0.001302192,0.000762194,0.005710875,0.005057081,0.006743648,0.005085662,0.0311771,0.025696817,0.002125198,0.002351939,0.001306071,0.001352259,0.00395475,0.00604332,0.006671197,0.003517249,0.000518502,0.000324001
213,0.008631793,0.006841764,0.002796129,0.012834954,0.008772134,0.011588714,0.006354556,0.437400175,0.088817379,0.102012966,0.019940888,0.013147688,0.005527038,0.00559953,0.003866949,0.004222361,0.001941502,0.038124532,0.022440692,0.010626833,0.006085972,0.032386368,0.021829863,0.005569832,0.003750185,0.001949531,0.014164065,0.011075284,0.022785715,0.015704027,0.017167824,0.011625601,0.00245275,0.002725242,0.001840229,0.001672745,0.003522459,0.002201873,0.012816571,0.006839372,0.001521512,0.000923473
214,0.005792436,0.004946226,0.002917596,0.007438797,0.005438745,0.005559974,0.004976957,0.463350242,0.167697603,0.081278753,0.026883966,0.006466052,0.004434295,0.007237067,0.007104573,0.003095924,0.001968865,0.01933719,0.011881304,0.006702351,0.005372624,0.01861302,0.012127831,0.00385985,0.002237369,0.001296903,0.011621397,0.009462929,0.013124389,0.009286617,0.028384245,0.021012646,0.00266444,0.002663107,0.001997772,0.001784466,0.003016361,0.002891737,0.00792291,0.004318613,0.000773597,0.000537453
215,0.007507095,0.00545047,0.003572649,0.007457667,0.007749148,0.009105881,0.005623983,0.492873714,0.081720261,0.106739231,0.019140331,0.004608359,0.003297953,0.005296911,0.00607409,0.00491044,0.002082229,0.020303089,0.018344801,0.008603073,0.005809529,0.024368592,0.01632554,0.005078687,0.003049089,0.001244164,0.012934752,0.011500986,0.015913035,0.012262264,0.027899499,0.020041329,0.002921311,0.003475469,0.001921259,0.002527254,0.002888285,0.00277326,0.010380023,0.005430416,0.000935649,0.000611212
216,0.006243329,0.007634535,0.013498017,0.013209259,0.008146874,0.008202159,0.005316165,0.044964304,0.020334079,0.005758005,0.00165559,0.001065316,0.0016162,0.200304965,0.082370654,0.010664704,0.003360061,0.006572788,0.0061358,0.028135909,0.018641951,0.015296026,0.012008684,0.00209827,0.002862238,0.004643807,0.012818984,0.014048722,0.008870961,0.008751277,0.249305718,0.102626641,0.00822211,0.014282152,0.004367467,0.012292684,0.023054074,0.016033327,0.006407387,0.003586334,0.00053052,0.000480869
217,0.004526825,0.0059003,0.009650478,0.008600582,0.006760821,0.015305077,0.006174093,0.152095928,0.030655992,0.022428045,0.004082718,0.001506992,0.002061498,0.055208245,0.049521744,0.03682579,0.007985981,0.006623139,0.015520991,0.01365897,0.011018777,0.020660901,0.010575432,0.002037145,0.002374775,0.002072899,0.014628566,0.011958676,0.008315551,0.00722203,0.306251441,0.081026405,0.003622778,0.011378192,0.003527081,0.008155509,0.021017076,0.015996031,0.008463437,0.003575089,0.000647857,0.000391518
218,0.004475025,0.005390185,0.006597668,0.006826546,0.006047863,0.017624084,0.007227119,0.280834924,0.049520358,0.049410565,0.009767261,0.002357041,0.0022779,0.032098227,0.035802351,0.03546802,0.008193903,0.011819346,0.021286834,0.011147108,0.009026524,0.024336777,0.011031766,0.002383282,0.001995091,0.001817666,0.012332024,0.009605729,0.01068287,0.007546375,0.17992612,0.06174119,0.00377117,0.008890705,0.003347722,0.005654962,0.0177979,0.018679007,0.009670668,0.003843226,0.000976191,0.000456252
219,0.006974918,0.008179043,0.018127307,0.018359951,0.01368812,0.007167443,0.005168248,0.0348704,0.01413865,0.004307066,0.001079743,0.001288947,0.00185199,0.138247874,0.0520772,0.011934401,0.002963077,0.008356853,0.005042878,0.02291972,0.018460983,0.015933671,0.014314417,0.002474853,0.004552928,0.003612257,0.02260647,0.023952286,0.010295827,0.011593506,0.348138955,0.078001312,0.009339463,0.016133205,0.004551949,0.014455281,0.020692871,0.009093219,0.00630005,0.00366629,0.000539593,0.000611714
220,0.003758463,0.002969623,0.004894354,0.002835565,0.002858436,0.010880902,0.007422206,0.14176038,0.04621162,0.01471172,0.004042861,0.003028519,0.001420796,0.057419331,0.071031941,0.022484855,0.008328504,0.006809872,0.012679148,0.014994059,0.012360582,0.013761274,0.009567457,0.001156403,0.001284109,0.002387477,0.005391641,0.004494253,0.005868562,0.004993418,0.216949047,0.100655629,0.004306806,0.020897216,0.002037753,0.004866432,0.065972816,0.081639755,0.00596097,0.003556947,0.000577143,0.000417483
221,0.003800649,0.00438107,0.00509121,0.003298986,0.003248366,0.017748956,0.010350052,0.220306908,0.069203911,0.01970718,0.009364918,0.008403566,0.001905385,0.023627966,0.024496078,0.036045017,0.020534569,0.011823716,0.019628475,0.007562599,0.007424038,0.021454827,0.011348935,0.001733088,0.001365315,0.002125917,0.007681559,0.005197969,0.008878123,0.006169228,0.186163749,0.074153866,0.005783642,0.019164295,0.002699082,0.005337222,0.046311419,0.059892634,0.008329022,0.003735335,0.000888619,0.000511133
